site_id,city,country,latitude,longitude,temperature_c,wind_kmh,observed_at
DC-ASH,Ashburn,US,39.0438,-77.4874,29.4,1.6,2026-06-29T21:44
DC-DUB,Dublin,IE,53.3498,-6.2603,15.7,4.8,2026-06-29T21:45
DC-SIN,Singapore,SG,1.3521,103.8198,24.7,2.4,2026-06-29T21:44
DC-FRA,Frankfurt,DE,50.1109,8.6821,23.2,9.8,2026-06-29T21:45
DC-TYO,Tokyo,JP,35.6762,139.6503,23.4,6.8,2026-06-29T21:44
DC-SYD,Sydney,AU,-33.8688,151.2093,10.8,8.2,2026-06-29T21:35
DC-GRU,Sao Paulo,BR,-23.5505,-46.6333,18.6,1.6,2026-06-29T21:40
DC-BOM,Mumbai,IN,19.076,72.8777,27.9,22.4,2026-06-29T21:44
